PSRJ,PTA_SRC,REF_SH,GL,GB,P0,P1,DM,DM_ERR,DMEPOCH,RM,RM_ERR,RM_SNG,L_FRAC,L_FRAC_ERR,V_FRAC,V_FRAC_ERR,ABS_V_FRAC,ABS_V_FRAC_ERR,TOA_ERR_NEW,SPIND,SPIND_ERR,NOBS,S1400,S1400_ERR,FLUX_0_VAL,FLUX_1_VAL,FLUX_2_VAL,FLUX_3_VAL,FLUX_4_VAL,FLUX_5_VAL,FLUX_6_VAL,FLUX_7_VAL,FLUX_0_ERR,FLUX_1_ERR,FLUX_2_ERR,FLUX_3_ERR,FLUX_4_ERR,FLUX_5_ERR,FLUX_6_ERR,FLUX_7_ERR,FLUX_0_FRQ,FLUX_1_FRQ,FLUX_2_FRQ,FLUX_3_FRQ,FLUX_4_FRQ,FLUX_5_FRQ,FLUX_6_FRQ,FLUX_7_FRQ
J1529-3828,False,nbb+14,333.88599999999997,14.728,0.00848628211574,2.7400000000000007e-20,73.655,0.002,59083.57165700001,-30.11395329387814,7.852179350148478,False,0.15941469112440992,0.020800691428365027,0.09020741698820284,0.052110946404304984,0.03256072082607658,0.052110946404304984,12.313235390786554,-2.0,0.4,6,0.27,0.02,0.56,0.5,0.43,0.34,0.27,0.25,0.27,0.19,0.13,0.1,0.09,0.1,0.05,0.03,0.05,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1536-4948,False,rap+12,328.19800000000004,4.789,0.00307991405840398,2.1209000000000002e-20,37.998000000000005,0.008,58896.952848,,,True,0.037430415752777516,0.030078794157393562,0.04977459554910353,0.19561318568398184,-0.004979635596707748,0.19561318568398184,12.8663115346731,-3.2,0.6,5,0.087,0.01,0.29,0.21,0.17,0.16,0.085,0.05,0.1,0.08,0.1,0.08,0.02,0.03,0.013000000000000001,0.02,0.05,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1537+1155,False,wol91a,19.848,48.341,0.03790444117830463,2.422494e-18,11.607999999999999,0.003,59227.189326,7.684303448905977,0.491969461328648,False,0.2486007852781997,0.020180998278232075,0.012391968418020635,0.029973991049898768,0.036483239961894016,0.029973991049898768,6.339496677442857,-1.1,0.6,6,0.46,0.07,0.8,0.46,0.6,1.1,0.8,0.6,0.5,0.26,0.3,0.12,0.2,0.4,0.4,0.3,0.2,0.08,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1537-5312,False,ccb+20,326.351,1.935,0.0069270955083833,1.588e-20,117.68700000000001,0.004,59083.61924,-37.41308515142776,0.8246409146619095,False,0.21119944981509384,0.020751758080874,-0.06704092373418817,0.057860972042147275,0.0322844398981112,0.057860972042147275,7.061030270454947,-2.3,0.3,9,0.32,0.02,0.74,0.64,0.54,0.44,0.38,0.32,0.27,0.21,0.1,0.08,0.07,0.06,0.05,0.04,0.04,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1543-5149,True,kjb+12,327.921,2.479,0.002056960392414,1.617e-20,50.982,0.0004,58693.763313999996,-27.111892683482388,2.2321120596069006,False,0.07468388445709513,0.020065512162086185,0.04527865426328055,0.02481308058571256,0.06313508839113588,0.02481308058571256,1.0492107223106646,-3.2,0.15,38,0.82,0.03,2.9,2.09,1.67,1.26,1.01,0.77,0.6,0.51,0.2,0.14,0.13,0.1,0.08,0.06,0.05,0.05,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1545-4550,True,bbb+13,331.892,6.9879999999999995,0.003575,5.25e-20,68.3884,0.0002,59126.365562,2.9876835905485373,0.10624410001970301,False,0.5010326099736105,0.020025705084377857,-0.12305317693286776,0.03058386476834033,0.13912372156980266,0.03058386476834033,0.3142769333830797,-1.29,0.12,48,1.07,0.03,1.76,1.53,1.49,1.27,1.09,0.99,0.97,0.94,0.09,0.09,0.09,0.06,0.06,0.06,0.08,0.08,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1546-5925,False,mlb+12,323.575,-3.767,0.007797,1.6100000000000002e-20,168.282,0.003,58834.099496,-37.146934595938255,15.268387528983913,False,0.21909941051828824,0.021479965079625168,0.0749450464996595,0.07987952708203222,0.03921962394799538,0.07987952708203222,6.554094147996932,-1.3,0.2,6,0.269,0.012,0.42,0.45,0.34,0.28,0.31,0.24,0.25,0.25,0.04,0.04,0.02,0.04,0.04,0.02,0.05,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1547-5709,True,ccb+20,325.07599999999996,-2.052,0.0042911460641943,7.318e-21,95.7221,0.0004,58966.022942999996,119.74901265233841,0.3573595554184165,False,0.2136177579212601,0.02032933912652327,-0.05836290426605021,0.03997122880726922,0.038130803990210106,0.03997122880726922,1.5330261936120029,-2.04,0.12,39,0.343,0.009,0.74,0.64,0.54,0.45,0.38,0.33,0.29,0.25,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1552-4937,False,fsk+04,330.342,3.372,0.006284311381270001,1.947e-20,113.803,0.002,58844.483638,-30.036541390568146,8.793976894537913,False,0.10624512758935674,0.02063548823936206,0.016784476815819828,0.05810247834327145,-0.0038724268259019493,0.05810247834327145,4.751982300611551,-2.6,0.2,6,0.34,0.02,0.91,0.7,0.61,0.48,0.4,0.32,0.28,0.21,0.09,0.08,0.06,0.06,0.06,0.04,0.04,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1600-3053,True,jbo+07,344.09,16.451,0.0035979285105905,9.4871e-21,52.3282,0.0002,58966.034240999994,-11.68509677842046,0.09558152592550744,False,0.2991869524069677,0.020004311536579267,0.008397958687348392,0.020376803141162168,0.020521756654926924,0.020376803141162168,0.12027702767954886,-0.99,0.12,40,2.22,0.05,3.2,2.9,2.79,2.49,2.4,2.27,2.0,1.81,0.2,0.2,0.14,0.12,0.2,0.12,0.12,0.12,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
