PSRJ,S728,S1382,S3100,class
J1043-6116,2.6 ± 0.2,1.39 ± 0.07,0.49 ± 0.03,pl
J1045-4509,7.0 ± 1.0,1.9 ± 0.4,0.33 ± 0.09,broken pl
J1046-5813,4.1 ± 0.8,1.4 ± 0.3,0.24 ± 0.05,pl
J1047-6709,3.9 ± 0.9,3.1 ± 0.9,1.4 ± 0.3,pl
J1048-5832,12.0 ± 1.0,9.1 ± 0.5,6.2 ± 0.5,pl
J1049-5833,-,-,0.07 ± 0.01,-
J1052-5954,< 0.2,0.147 ± 0.009,0.071 ± 0.005,-
J1055-6028,1.2 ± 0.2,0.95 ± 0.05,0.13 ± 0.01,lps
J1056-6258,54 ± 6,34 ± 8,11.0 ± 1.0,pl
J1057-5226,22 ± 5,4.4 ± 0.6,1.4 ± 0.3,lps
J1057-7914,2.4 ± 0.9,-,< 0.1,-
J1058-5957,-,0.6 ± 0.1,-,-
J1059-5742,30 ± 10,2.0 ± 0.6,0.21 ± 0.05,pl
J1105-6107,2.4 ± 0.2,1.2 ± 0.07,0.46 ± 0.04,pl
J1110-5637,4.7 ± 0.7,3.3 ± 0.8,0.9 ± 0.2,pl
J1112-6103,< 0.08,2.3 ± 0.1,1.03 ± 0.07,pl
J1112-6613,12 ± 4,1.7 ± 0.4,0.32 ± 0.05,pl
J1112-6926,4.0 ± 1.0,0.6 ± 0.2,0.4 ± 0.1,pl
J1114-6100,-,4.7 ± 0.9,1.8 ± 0.7,pl
J1115-6052,1.9 ± 0.5,0.48 ± 0.03,0.2 ± 0.01,pl
J1116-4122,6 ± 7,6 ± 2,0.3 ± 0.1,pl
J1117-6154,-,1.6 ± 0.3,-,-
J1119-6127,3.0 ± 0.4,1.09 ± 0.06,0.36 ± 0.03,pl
J1119-7936,3.0 ± 1.0,-,< 0.06,-
J1121-5444,4.3 ± 0.9,1.5 ± 0.4,0.22 ± 0.05,pl
J1123-4844,2.5 ± 0.5,1.0 ± 0.3,0.4 ± 0.1,pl
J1123-6102,-,1.1 ± 0.2,-,-
J1123-6259,2.0 ± 0.2,0.51 ± 0.03,0.1 ± 0.006,pl
J1126-6942,3.0 ± 1.0,-,< 0.05,-
J1133-6250,22 ± 3,7.0 ± 1.0,1.6 ± 0.3,pl
J1136+1551,-,20 ± 10,-,broken pl
J1136-5525,-,6.0 ± 1.0,-,pl
J1138-6207,< 0.3,0.57 ± 0.03,0.27 ± 0.02,pl
J1141-3322,-,1.6 ± 0.5,-,pl
J1141-6545,15 ± 4,2.4 ± 0.7,0.28 ± 0.08,pl
J1144-6146,-,< 0.6,-,-
J1146-6030,10 ± 3,3.2 ± 0.6,1.1 ± 0.3,pl
J1156-5707,0.5 ± 0.1,0.27 ± 0.02,0.12 ± 0.01,pl
J1156-5909,< 40.0,-,< 0.01,-
J1157-6224,54 ± 9,14 ± 3,1.8 ± 0.4,pl
J1159-7910,-,0.7 ± 0.2,-,pl
J1202-5820,9 ± 2,3.0 ± 0.8,0.7 ± 0.2,pl
J1210-5559,10 ± 2,2.3 ± 0.6,0.27 ± 0.07,pl
J1216-6223,< 0.4,0.23 ± 0.01,0.061 ± 0.006,-
J1224-6407,20 ± 2,8.9 ± 0.5,3.0 ± 0.4,pl
J1227-6208,-,-,< 0.01,-
J1231-6303,9 ± 2,-,0.5 ± 0.1,pl
J1235-5516,-,-,< 0.1,-
J1239-6832,5.0 ± 1.0,-,0.15 ± 0.05,pl
J1243-6423,140 ± 30,-,4.1 ± 0.8,broken pl
J1248-6344,1.1 ± 0.2,0.2 ± 0.01,< 0.02,-
J1253-5820,25 ± 7,-,1.6 ± 0.5,pl
J1259-6741,8 ± 2,-,0.3 ± 0.1,pl
J1301-6305,0.7 ± 0.1,0.49 ± 0.03,0.21 ± 0.02,pl
J1302-6350,1.3 ± 0.5,4.5 ± 0.3,2.7 ± 0.3,pl
J1305-6203,8 ± 3,0.67 ± 0.04,0.23 ± 0.02,pl
J1305-6455,12 ± 2,-,0.44 ± 0.07,pl
J1312-5402,5.0 ± 1.0,-,0.13 ± 0.04,pl
J1312-5516,12 ± 3,-,0.6 ± 0.2,pl
J1312-6400,3.0 ± 1.0,-,< 0.08,-
J1317-6302,4.2 ± 0.5,-,0.24 ± 0.03,pl
