PSRJ,S728,S1382,S3100,class
J1901-0906,6.0 ± 1.0,-,0.19 ± 0.07,pl
J1902+0556,-,-,0.5 ± 0.1,pl
J1903+0135,29 ± 4,-,1.3 ± 0.2,pl
J1903-0632,7 ± 2,-,0.13 ± 0.03,hard-ut-off
J1903-0848,0.7 ± 0.2,-,< 0.02,-
J1904+0004,8 ± 2,-,0.6 ± 0.1,pl
J1905-0056,1.7 ± 0.3,-,0.12 ± 0.03,pl
J1907+0534,0.9 ± 0.1,-,-,-
J1908+0500,3.4 ± 0.7,-,0.4 ± 0.1,pl
J1909+1102,12 ± 3,-,0.34 ± 0.09,pl
J1909-3744,1.5 ± 0.8,1.0 ± 1.0,0.5 ± 0.4,pl
J1913-0440,28 ± 5,-,1.8 ± 0.5,low turn-over
J1915+1009,-,-,0.39 ± 0.09,pl
J1916+1312,-,-,0.5 ± 0.1,pl
J1920+1040,-,-,< 0.01,-
J1932-3655,2.3 ± 0.8,-,0.09 ± 0.04,-
J1933-6211,2 ± 2,-,0.2 ± 0.2,-
J1941-2602,4 ± 2,-,0.5 ± 0.2,pl
J1946-2913,3.0 ± 1.0,-,< 0.1,pl
J1947-4215,< 0.07,-,-,-
J2006-0807,11 ± 5,-,< 0.02,pl
J2010-1323,1.1 ± 0.7,-,-,-
J2038-3816,1.4 ± 0.7,-,< 0.2,-
J2046-0421,-,-,0.2 ± 0.1,pl
J2048-1616,40 ± 30,-,4 ± 4,broken pl
J2051-0827,3 ± 2,-,-,pl
J2053-7200,11 ± 7,-,0.3 ± 0.2,broken pl
J2108-3429,2.0 ± 1.0,-,-,-
J2145-0750,10 ± 10,0.8 ± 0.4,2 ± 2,pl
J2222-0137,1.0 ± 1.0,-,0.5 ± 0.7,-
J2317+1439,-,-,< 0.02,pl
