Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,S888,e_S888,S400,e_S400,S1400,e_S1400,DSError,S150,e_S150,S200,e_S200,S3000,e_S3000,alpha,e_alpha
J1836-1008,18,36,53.9,-,10,08,09,14.407,1.113,54.0,6.0,4.8,1.0,0.002,65.4,15.0,,,,,-1.77,0.148
J1841+0912,18,41,55.9,+,09,12,08,4.768,0.76,20.0,1.0,1.7,0.1,0.284,,,,,,,-1.96,0.061
J1844+1454,18,44,54.8,+,14,54,14,4.136,0.48,20.0,2.0,1.8,0.4,0.288,105.4,7.3,,,1.67,0.477,-1.95,0.154
J1844-0433,18,44,33.4,-,04,33,12,3.242,0.857,8.1,0.7,1.1,0.12,0.005,,,,,,,-1.58,0.11
J1847-0402,18,47,22.8,-,04,02,13,12.639,0.744,75.0,3.0,4.9,0.3,0.013,945.1,14.2,,,,,-2.19,0.055
J1848-0123,18,48,23.6,-,01,23,58,33.89,3.018,79.0,6.0,15.2,3.0,0.005,420.0,17.9,,,2.15,0.304,-1.17,0.123
J1849-0636,18,49,06.4,-,06,37,06,4.145,0.481,26.0,1.0,1.4,0.15,0.006,202.8,7.5,,,1.08,0.347,-2.33,0.082
J1850+1335,18,50,35.5,+,13,35,56,2.259,0.441,6.0,1.0,0.8,0.2,0.08,,,,,,,-1.5,0.222
J1853+1303,18,53,57.3,+,13,03,42,2.037,0.447,5.12,1.99,0.5,0.04,0.323,,,,,,,-2.18,0.278
J1857+0943,18,57,36.3,+,09,43,16,8.851,0.493,20.0,6.0,5.0,0.5,1.631,,,,,2.44,0.227,-1.18,0.201
J1900-2600,19,00,47.5,-,26,00,44,32.601,0.471,131.0,12.0,15.0,3.0,1.546,408.2,15.3,299.0,13.0,3.42,0.297,-1.74,0.112
J1901+0331,19,01,31.8,+,03,31,06,17.559,1.292,165.0,10.0,4.2,0.4,0.002,437.1,17.3,,,0.98,0.288,-2.89,0.083
J1902+0556,19,02,42.8,+,05,56,26,3.666,0.964,15.0,2.0,1.2,0.13,0.001,,,,,,,-2.01,0.137
J1902+0615,19,02,50.3,+,06,16,33,4.266,1.071,22.0,4.0,1.6,0.3,0.0,,,,,,,-2.09,0.206
J1903+0135,19,03,30.0,+,01,35,39,18.837,0.919,58.0,8.0,5.5,0.6,0.005,,,,,1.98,0.346,-1.86,0.14
J1904+1011,19,04,02.4,+,10,11,36,1.605,0.581,4.4,0.3,0.58,0.07,0.003,,,,,,,-1.61,0.109
J1905-0056,19,05,27.8,-,00,56,40,1.966,0.488,9.8,0.6,0.7,0.1,0.002,37.9,7.3,,,,,-2.1,0.119
J1907+4002,19,07,34.6,+,40,02,05,6.491,0.456,23.0,3.0,1.8,0.3,0.625,38.1,5.3,,,,,-1.86,0.155
J1909+0007,19,09,35.3,+,00,07,58,4.012,0.504,12.0,0.7,0.87,0.1,0.026,59.0,8.1,,,,,-1.94,0.095
J1909+0254,19,09,38.3,+,02,54,50,2.596,0.506,21.0,1.0,0.63,0.07,0.004,,,,,,,-2.78,0.093
J1909+1102,19,09,48.7,+,11,02,04,5.635,0.621,50.0,3.0,3.2,0.6,0.009,325.6,11.6,,,,,-2.47,0.119
J1910+0358,19,10,09.1,+,03,58,27,9.004,0.489,21.0,6.0,1.5,0.16,0.061,165.1,14.0,,,,,-2.92,0.204
J1910-0309,19,10,29.7,-,03,09,54,2.69,0.445,27.0,3.0,0.55,0.07,0.013,123.7,6.5,,,,,-3.09,0.133
J1912+2104,19,12,43.3,+,21,04,32,3.263,0.471,6.0,1.0,0.8,0.1,0.07,,,,,,,-1.61,0.166
J1913+1400,19,13,24.3,+,14,00,52,3.492,0.553,5.2,0.7,1.2,0.13,0.004,,,,,,,-1.16,0.138
J1913-0440,19,13,54.2,-,04,40,47,19.134,0.432,118.0,9.0,6.8,1.4,0.064,527.7,8.8,176.0,26.0,1.37,0.282,-2.28,0.097
J1915+1009,19,15,30.0,+,10,09,44,3.533,0.806,23.0,2.0,2.0,0.4,0.001,,,,,,,-2.03,0.16
J1915+1606,19,15,28.0,+,16,06,30,1.764,0.536,4.0,1.0,0.9,0.2,0.003,,,,,,,-1.18,0.266
J1916+0951,19,16,32.3,+,09,51,26,5.274,0.688,20.0,2.0,1.6,0.3,0.111,63.8,10.1,,,,,-1.89,0.148
J1916+1312,19,16,58.7,+,13,12,50,4.849,0.49,12.0,1.0,1.2,0.13,0.004,,,,,,,-1.7,0.105
J1917+1353,19,17,39.8,+,13,53,57,9.206,0.776,43.0,3.0,6.8,1.4,0.017,149.6,21.3,,,,,-1.77,0.118
J1918-0642,19,18,48.0,-,06,42,33,4.386,0.382,5.9,0.6,0.58,0.02,0.42,,,,,,,-2.15,0.082
J1919+0021,19,19,50.7,+,00,21,41,4.191,0.526,16.0,1.0,0.8,0.2,0.065,,,,,,,-1.97,0.141
J1921+1948,19,21,03.8,+,19,48,44,7.325,0.518,34.0,4.0,1.7,0.3,0.051,71.2,6.7,,,,,-2.17,0.147
J1922+2110,19,22,53.4,+,21,10,42,3.32,0.627,30.0,1.0,1.4,0.2,0.006,131.3,9.2,,,,,-2.5,0.107
J1926+1648,19,26,45.4,+,16,48,35,3.185,0.463,8.0,1.0,1.3,0.2,0.003,,,,,,,-1.4,0.153
J1932+1059,19,32,14.0,+,10,59,34,110.955,0.836,303.0,76.0,28.7,5.7,96.814,117.2,6.6,501.0,47.0,20.1,0.299,-1.84,0.255
J1932+2020,19,32,08.0,+,20,20,45,4.488,0.604,29.0,2.0,1.2,0.4,0.003,258.4,8.2,,,,,-2.4,0.162
J1932+2220,19,32,22.7,+,22,20,54,4.783,0.369,7.8,0.8,1.2,0.1,0.019,,,,,,,-1.46,0.105
J1935+1616,19,35,47.8,+,16,16,40,180.746,1.016,242.0,22.0,58.0,1.0,0.851,159.2,10.3,,,6.05,0.256,-2.26,0.037
J1937+2544,19,37,01.2,+,25,44,12,5.289,0.488,6.6,0.4,1.4,0.3,0.314,,,,,,,-0.62,0.117
J1941-2602,19,41,00.3,-,26,02,05,4.922,0.402,13.0,1.0,1.9,0.4,0.208,,,,,,,-1.33,0.122
J1943-1237,19,43,25.3,-,12,37,41,2.434,0.494,12.9,0.6,1.2,0.2,0.211,36.8,5.9,,,,,-1.94,0.125
J1944+0907,19,44,09.3,+,09,07,23,9.397,0.415,21.0,7.0,2.1,0.2,1.938,95.3,8.1,,,1.24,0.244,-2.74,0.197
J1944-1750,19,44,05.5,-,17,50,12,2.13,0.308,7.5,0.5,0.3,0.1,0.075,,,,,,,-1.91,0.167
J1945-0040,19,45,28.4,-,00,40,58,3.306,0.373,6.0,1.0,0.8,0.1,0.115,,,,,,,-1.61,0.166
J1946-2913,19,46,51.8,-,29,13,46,3.712,0.498,9.3,0.8,0.5,0.1,0.179,,,,,,,-1.85,0.144
J1949-2524,19,49,25.6,-,25,23,58,1.302,0.421,5.2,0.6,0.4,0.1,0.219,,,,,,,-1.99,0.206
J1955+2908,19,55,28.0,+,29,08,44,1.66,0.435,12.0,1.3,0.98,0.03,0.024,56.7,5.1,,,,,-1.98,0.089
J2002+3217,20,02,04.3,+,32,17,18,2.181,0.504,5.5,0.5,1.2,0.1,0.02,,,,,,,-1.21,0.098
